Time	Pulse	Heart Rate
0	-0.407838	74.5342
0.005	-0.404949	74.5342
0.01	-0.402466	74.5342
0.015	-0.399862	74.5342
0.02	-0.397673	74.5342
0.025	-0.3944	74.5342
0.03	-0.392032	74.5342
0.035	-0.391504	74.5342
0.04	-0.391803	74.5342
0.045	-0.39262	74.5342
0.05	-0.397698	74.5342
0.055	-0.405635	74.5342
0.06	-0.415037	74.5342
0.065	-0.425337	74.5342
0.07	-0.43479	74.5342
0.075	-0.442883	74.5342
0.08	-0.452142	74.5342
0.085	-0.462556	74.5342
0.09	-0.472748	74.5342
0.095	-0.483111	74.5342
0.1	-0.494795	74.5342
0.105	-0.507098	74.5342
0.11	-0.515209	74.5342
0.115	-0.519643	74.5342
0.12	-0.512067	74.5342
0.125	-0.494901	74.5342
0.13	-0.47287	74.5342
0.135	-0.447924	74.5342
0.14	-0.412777	74.5342
0.145	-0.370389	74.5342
0.15	-0.323191	74.5342
0.155	-0.273764	74.5342
0.16	-0.217156	74.5342
0.165	-0.157682	74.5342
0.17	-0.0950557	74.5342
0.175	-0.0303959	74.5342
0.18	0.0354188	74.5342
0.185	0.0999815	74.5342
0.19	0.166451	74.5342
0.195	0.233503	74.5342
0.2	0.301979	74.5342
0.205	0.369793	74.5342
0.21	0.437161	74.5342
0.215	0.503516	74.5342
0.22	0.56918	74.5342
0.225	0.633638	74.5342
0.23	0.695792	74.5342
0.235	0.754628	74.5342
0.24	0.810967	74.5342
0.245	0.864941	74.5342
0.25	0.913874	74.5342
0.255	0.957901	74.5342
0.26	1.0013	74.5342
0.265	1.04365	74.5342
0.27	1.082	74.5342
0.275	1.11686	74.5342
0.28	1.14802	74.5342
0.285	1.17515	74.5342
0.29	1.20009	74.5342
0.295	1.22225	74.5342
0.3	1.24066	74.5342
0.305	1.25583	74.5342
0.31	1.26885	74.5342
0.315	1.27871	74.5342
0.32	1.28207	74.5342
0.325	1.27945	74.5342
0.33	1.27309	74.5342
0.335	1.26431	74.5342
0.34	1.25452	74.5342
0.345	1.24222	74.5342
0.35	1.22371	74.5342
0.355	1.1992	74.5342
0.36	1.16807	74.5342
0.365	1.13185	74.5342
0.37	1.09394	74.5342
0.375	1.05315	74.5342
0.38	1.00846	74.5342
0.385	0.960324	74.5342
0.39	0.909865	74.5342
0.395	0.856884	74.5342
0.4	0.799618	74.5342
0.405	0.738696	74.5342
0.41	0.679375	74.5342
0.415	0.620751	74.5342
0.42	0.566659	74.5342
0.425	0.515513	74.5342
0.43	0.464262	74.5342
0.435	0.414018	74.5342
0.44	0.368829	74.5342
0.445	0.32787	74.5342
0.45	0.290464	74.5342
0.455	0.256803	74.5342
0.46	0.230445	74.5342
0.465	0.210656	74.5342
0.47	0.192607	74.5342
0.475	0.175868	74.5342
0.48	0.160337	74.5342
0.485	0.147046	74.5342
0.49	0.13554	74.5342
0.495	0.125855	74.5342
0.5	0.117957	74.5342
0.505	0.112514	74.5342
0.51	0.108878	74.5342
0.515	0.106508	74.5342
0.52	0.104749	74.5342
0.525	0.103369	74.5342
0.53	0.100322	74.5342
0.535	0.0969133	74.5342
0.54	0.0911253	74.5342
0.545	0.0837685	74.5342
0.55	0.0744263	74.5342
0.555	0.0640809	74.5342
0.56	0.0537773	74.5342
0.565	0.0439743	74.5342
0.57	0.0357527	74.5342
0.575	0.0277939	74.5342
0.58	0.0180926	74.5342
0.585	0.00779477	74.5342
0.59	-0.00285403	74.5342
0.595	-0.0136162	74.5342
0.6	-0.0293322	74.5342
0.605	-0.0473818	74.5342
0.61	-0.0611198	74.5342
0.615	-0.0720511	74.5342
0.62	-0.0857037	74.5342
0.625	-0.101194	74.5342
0.63	-0.119998	74.5342
0.635	-0.141017	74.5342
0.64	-0.159729	74.5342
0.645	-0.176269	74.5342
0.65	-0.195966	74.5342
0.655	-0.217176	74.5342
0.66	-0.23852	74.5342
0.665	-0.260666	74.5342
0.67	-0.281981	74.5342
0.675	-0.301682	74.5342
0.68	-0.32139	74.5342
0.685	-0.341162	74.5342
0.69	-0.361581	74.5342
0.695	-0.381989	74.5342
0.7	-0.403599	74.5342
0.705	-0.425401	74.5342
0.71	-0.442852	74.5342
0.715	-0.456578	74.5342
0.72	-0.467532	74.5342
0.725	-0.475613	74.5342
0.73	-0.485973	74.5342
0.735	-0.497405	74.5342
